year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000431,111.3661,35.431,,,
1994,S000432,111.6974,35.2191,,,
1994,S000433,105.7663,39.687,,,
1994,S000434,106.6658,39.3821,,,
1994,S000435,121.5533,50.6518,,,
1994,S000436,124.1504,50.4578,,,
1994,S000437,97.9364,39.2748,,,
1994,S000438,98.0739,39.6563,,,
1994,S000439,106.4189,29.3379,,,
1994,S000440,106.9878,27.7481,241.0,遵义市,Zunyi
1994,S000441,106.6352,26.4104,,,
1994,S000442,106.7434,26.3861,,,
1994,S000443,106.7036,26.495,240.0,贵阳市,Guiyang
1994,S000444,106.7432,26.3907,,,
1994,S000445,117.1573,39.2401,2.0,天津市,Tianjin
1994,S000446,119.4728,39.8307,5.0,秦皇岛市,Qinhuangdao
1994,S000447,123.8754,47.1704,56.0,齐齐哈尔市,Qiqihar
1994,S000448,123.9521,47.1165,,,
1994,S000449,117.1518,39.245,2.0,天津市,Tianjin
1994,S000450,117.4569,39.7724,,,
1994,S000451,102.333,23.7184,,,
1994,S000452,103.423,23.4107,,,
1994,S000453,103.0518,26.0838,,,
1994,S000454,103.2648,25.6966,,,
1994,S000455,115.9081,27.6024,,,
1994,S000456,116.2682,27.9219,125.0,抚州市,Fuzhou3
1994,S000457,102.8368,37.749,,,
1994,S000458,104.4647,37.4347,,,
1994,S000459,120.7456,51.3068,,,
1994,S000460,121.4289,50.9541,,,
1994,S000461,111.5846,32.4517,,,
1994,S000462,111.8181,32.104,,,
1994,S000463,112.1983,32.0297,165.0,襄樊市,Xiangfan
1994,S000464,114.2753,30.5252,161.0,武汉市,Wuhan
1994,S000465,116.7961,33.8641,96.0,淮北市,Huaibei
1994,S000466,117.1099,34.2455,69.0,徐州市,Xuzhou
1994,S000467,116.8113,33.8452,96.0,淮北市,Huaibei
1994,S000468,117.0537,33.7409,102.0,宿州市,Suzhou4
1994,S000469,123.9587,47.1159,,,
1994,S000470,124.9581,46.6253,60.0,大庆市,Daqing
1994,S000471,102.7699,24.9139,242.0,昆明市,Kunming
1994,S000472,103.842,25.6429,,,
1994,S000473,103.8363,25.6518,,,
1994,S000474,104.2089,25.9249,,,
1994,S000475,104.1785,26.0796,,,
1994,S000476,106.6361,26.3875,,,
1994,S000477,123.2307,44.3917,,,
1994,S000478,124.2603,45.4541,,,
1994,S000479,122.3828,43.6374,29.0,通辽市,Tongliao
1994,S000480,123.2386,44.3311,,,
1994,S000481,113.5311,27.628,,,
1994,S000482,113.6668,27.898,,,
1994,S000483,113.585,28.1793,,,
1994,S000484,113.8255,28.3131,,,
1994,S000485,129.8341,43.251,,,
1994,S000486,130.9031,43.3903,,,
1994,S000487,101.6303,36.9016,,,
1994,S000488,101.7214,36.5448,272.0,西宁市,Xining
1994,S000489,104.6042,28.6975,234.0,宜宾市,Yibin
1994,S000490,104.8444,28.2838,,,
1994,S000491,124.9646,46.6246,60.0,大庆市,Daqing
1994,S000492,126.6746,45.7617,55.0,哈尔滨市,Harbin
1994,S000493,108.8836,24.668,,,
1994,S000494,109.0171,24.3559,,,
1994,S000495,112.6304,33.0768,156.0,南阳市,Nanyang
1994,S000496,113.142,33.2956,,,
1994,S000497,123.7241,52.0791,,,
1994,S000498,124.3779,51.6179,,,
1994,S000499,112.6466,35.0806,,,
1994,S000500,113.038,34.9407,,,
1994,S000501,101.4561,26.5477,,,
1994,S000502,101.8697,26.5694,224.0,攀枝花市,Panzhihua
1994,S000503,115.8886,32.859,101.0,阜阳市,Fuyang
1994,S000504,116.8057,33.8455,96.0,淮北市,Huaibei
1994,S000505,111.5445,38.6915,,,
1994,S000506,112.3179,38.9153,,,
1994,S000507,117.7588,30.8807,97.0,铜陵市,Tongling
1994,S000508,118.4426,31.2348,92.0,芜湖市,Wuhu
1994,S000509,118.4467,31.2755,92.0,芜湖市,Wuhu
1994,S000510,118.8169,31.9453,67.0,南京市,Nanjing
1994,S000511,106.07,38.9631,,,
1994,S000512,106.4359,38.9237,274.0,石嘴山市,Shizuishan
1994,S000513,122.168,40.6786,41.0,营口市,Yingkou
1994,S000514,122.5139,40.6514,41.0,营口市,Yingkou
